Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Nullacht! Ultimate @ DFV-Pokal Mixed,36.68,2.39,171.22,1,6,4,2,0.6666666666666666,0.5555555555555555,74,65,1.5,2.0,9,0
Mosquitos @ Elite Invite,35.12,1.51,228.38,1,6,3,3,0.5,0.4308080808080808,65,77,-2.0,1.0,30,0
Zoom Ultimate @ EUCR Istanbul,33.28,2.3,269.7,1,4,4,0,1.0,0.39166666666666666,45,31,3.5,7.0,6,0
Tartu Turbulence @ EUCR Malmo,32.09,2.07,184.39,1,6,3,3,0.5,0.6388888888888888,70,72,-0.3333333333333333,6.0,7,0
Left Overs @ Spring Invite Wroclaw,31.94,2.34,268.0,1,7,5,2,0.7142857142857143,0.42857142857142855,65,49,2.2857142857142856,3.0,9,0
Pampered cats @ Windmill,31.57,1.49,275.37,1,8,4,4,0.5,0.5625,84,90,-0.75,1.0,32,0
Too many cooks @ Windmill,31.38,1.44,251.67,1,8,5,3,0.625,0.44375,93,94,-0.125,1.0,43,0
Nullacht! Ultimate @ EUCR Malmo,29.11,1.86,151.41,1,6,3,3,0.5,0.6388888888888888,73,75,-0.3333333333333333,6.0,7,0
FRuBB @ Windmill,24.78,1.37,179.26,1,8,3,5,0.375,0.5,79,106,-3.375,1.0,34,0
GB Mixed Masters,24.61,2.21,107.72,2,10,5,5,0.5,0.6171417748917749,108,81,2.7,1.0,40,1
DISConnection @ Spring Invite Padova,24.38,0.81,158.16,1,6,6,0,1.0,0.4079861111111111,85,48,6.166666666666667,1.0,24,0
Mosquitos @ EUCR Brno,23.67,1.47,54.85,1,5,2,3,0.4,0.47000000000000003,61,55,1.2,4.0,8,0
Steamhuck @ EUCR Istanbul,19.33,1.4,123.14,1,5,2,3,0.4,0.5866666666666667,49,47,0.4,7.0,6,0
Fireball Ultimate @ EUCR Istanbul,18.78,1.31,128.46,1,6,4,2,0.6666666666666666,0.5166666666666667,50,46,0.6666666666666666,7.0,6,0
Savage Ultimate @ Spring Invite Wroclaw,18.66,1.37,151.64,1,6,5,1,0.8333333333333334,0.41269841269841273,68,53,2.5,3.0,9,0
Pelt @ Spring Invite Wroclaw,17.72,1.3,142.34,1,6,3,3,0.5,0.5714285714285715,55,54,0.16666666666666666,3.0,9,0
Savage Ultimate @ EUCR Brno,17.25,0.93,133.41,1,5,4,1,0.8,0.39,65,48,3.4,4.0,8,0
Free Spirits @ G-Spot,16.28,1.58,94.26,1,9,5,4,0.5555555555555556,0.5,72,72,0.0,1.0,20,0
ZomBees @ G-Spot,15.19,1.36,34.12,1,9,4,5,0.4444444444444444,0.5191798941798942,79,84,-0.5555555555555556,1.0,21,0
Shopski Otryad @ EUCR Istanbul,13.41,1.12,12.76,1,5,3,2,0.6,0.39333333333333337,53,44,1.8,7.0,6,0
Bremen @ EUCR Malmo,12.55,0.64,43.03,1,6,2,4,0.3333333333333333,0.5555555555555555,72,78,-1.0,6.0,7,0
Lemmings 2,10.23,1.22,60.09,2,11,7,4,0.6363636363636364,0.5494376436960169,128,114,1.2727272727272727,1.0,52,1
Seitensprung @ G-Spot,10.14,1.32,69.98,1,9,4,5,0.4444444444444444,0.5,79,75,0.4444444444444444,1.0,20,0
Deine Mudder Bremen @ DFV-Pokal Mixed,9.58,0.52,34.5,1,6,3,3,0.5,0.5611111111111111,66,67,-0.16666666666666666,2.0,9,0
OldSchool @ EUCR Istanbul,9.5,0.62,49.13,1,6,3,3,0.5,0.5444444444444444,58,58,0.0,7.0,6,0
Glasgow Mixed,8.46,0.62,64.66,4,20,13,7,0.65,0.5011273923444975,224,168,2.8,1.0,63,1
Netherlands Master Mixed @ G-Spot,4.16,0.76,66.63,1,8,4,4,0.5,0.4982638888888889,71,71,0.0,1.0,37,0
SMOG 2,2.92,0.2,34.45,3,16,7,9,0.4375,0.5621032077603769,159,156,0.1875,1.0,67,1
Malmö Ultimate Club @ EUCR Malmo,2.13,0.39,31.36,1,6,4,2,0.6666666666666666,0.3055555555555555,68,48,3.3333333333333335,6.0,7,0
KS FLOW WROCŁAW @ Spring Invite Wroclaw,2.08,0.16,1.97,1,7,3,4,0.42857142857142855,0.6360544217687075,56,65,-1.2857142857142858,3.0,9,0
Hässliche Erdferkel @ Spring Invite Wroclaw,1.97,0.11,31.64,1,7,4,3,0.5714285714285714,0.5578231292517007,65,65,0.0,3.0,9,0
Disckatus Ultimate Madrid @ Windmill,-2.08,-0.65,78.53,1,8,2,6,0.25,0.475,75,96,-2.625,1.0,46,0
Colorado @ DFV-Pokal Mixed,-6.52,-0.55,-75.72,1,6,3,3,0.5,0.45,66,69,-0.5,2.0,9,0
Hucks Ultimate Club Berlin @ DFV-Pokal Mixed,-6.87,-0.45,-75.24,1,6,2,4,0.3333333333333333,0.5,65,67,-0.3333333333333333,2.0,9,0
FucZH @ EUCR Strasbourg,-7.37,-0.61,-55.07,1,6,3,3,0.5,0.5833333333333334,71,77,-1.0,5.0,7,0
PUC @ Elite Invite,-8.22,-1.6,-39.85,1,6,0,6,0.0,0.5833333333333334,49,87,-6.333333333333333,1.0,7,0
RJP @ Spring Invite Wroclaw,-8.43,-0.63,-55.79,1,7,4,3,0.5714285714285714,0.45918367346938777,68,67,0.14285714285714285,3.0,9,0
Cambridge Ultimate,-9.48,-0.57,-6.69,2,12,8,4,0.6666666666666666,0.524780772955115,120,103,1.4166666666666667,1.0,51,1
Friss die Frisbee @ G-Spot,-11.17,-0.34,-73.98,1,9,3,6,0.3333333333333333,0.49691358024691357,79,88,-1.0,1.0,21,0
Catchup Mixed @ EUCR Brno,-11.37,-0.78,-77.18,1,6,3,3,0.5,0.43333333333333335,77,67,1.6666666666666667,4.0,8,0
Force Elektro MXD @ Windmill,-11.55,-0.76,131.34,1,8,5,3,0.625,0.41875,75,76,-0.125,1.0,47,0
Gentle Mixed @ EUCR Malmo,-18.21,-1.07,-110.63,1,6,4,2,0.6666666666666666,0.3055555555555555,69,59,1.6666666666666667,6.0,7,0
Antwerp Mixed @ G-Spot,-18.89,-0.73,-59.84,1,8,4,4,0.5,0.4375,69,73,-0.5,1.0,38,0
FlyHigh @ EUCR Strasbourg,-20.53,-1.42,-128.31,1,6,3,3,0.5,0.4341269841269841,71,78,-1.1666666666666667,5.0,7,0
Oxford Ultimate,-21.03,-1.05,-77.04,6,38,19,19,0.5,0.5227943213296399,376,374,0.05263157894736842,1.0,77,1
Scorillaz @ G-Spot,-21.25,-0.91,-82.77,1,8,3,5,0.375,0.5277777777777778,60,74,-1.75,1.0,37,0
Belgium U20 Mixed @ G-Spot,-26.76,-1.33,-88.8,1,9,4,5,0.4444444444444444,0.3935185185185185,71,83,-1.3333333333333333,1.0,21,0
Zoom Ultimate @ Spring Invite Wroclaw,-26.79,-1.98,-201.83,1,6,1,5,0.16666666666666666,0.4682539682539683,48,61,-2.1666666666666665,3.0,9,0
AUT BeeFire @ EUCR Strasbourg,-29.58,-2.13,-191.71,1,6,2,4,0.3333333333333333,0.43412698412698414,64,74,-1.6666666666666667,5.0,7,0
BN1,-31.29,-1.87,-144.04,5,30,14,16,0.4666666666666667,0.5252172761449078,281,288,-0.23333333333333334,1.0,70,1
DiscoBolo @ EUCR Strasbourg,-32.55,-2.22,-222.44,1,5,1,4,0.2,0.4809523809523809,52,63,-2.2,5.0,7,0
Steamhuck @ Windmill,-33.51,-2.05,27.27,1,8,4,4,0.5,0.359375,82,86,-0.5,1.0,28,0
W.underteam @ G-Spot,-34.89,-2.09,-187.28,1,9,2,7,0.2222222222222222,0.5092592592592592,62,91,-3.2222222222222223,1.0,21,0
Thundering Herd,-37.94,-2.23,-175.31,5,28,11,17,0.39285714285714285,0.5498167700094392,238,295,-2.0357142857142856,1.0,68,1
Prague Devils @ Spring Invite Wroclaw,-39.05,-2.9,-323.08,1,6,2,4,0.3333333333333333,0.4523809523809524,49,61,-2.0,3.0,9,0
Transylvania Ultimate @ EUCR Istanbul,-41.08,-2.97,-240.67,1,5,1,4,0.2,0.5333333333333333,41,53,-2.4,7.0,6,0
Kingdom of Raptors @ Windmill,-42.66,-2.85,-84.27,1,8,2,6,0.25,0.421875,82,98,-2.0,1.0,30,0
FucZH @ Spring Invite Padova,-43.19,-3.23,-44.4,1,6,3,3,0.5,0.5381944444444444,57,64,-1.1666666666666667,1.0,24,0
OUT @ EUCR Brno,-43.62,-2.98,-159.75,1,6,3,3,0.5,0.4666666666666666,59,69,-1.6666666666666667,4.0,8,0
Fly High @ G-Spot,-45.95,-2.66,-292.6,1,8,2,6,0.25,0.3836805555555556,59,79,-2.5,1.0,18,0
Transylvania Ultimate @ Spring Invite Wroclaw,-49.83,-3.62,-377.74,1,6,0,6,0.0,0.5317460317460317,46,66,-3.3333333333333335,3.0,9,0
DTU @ EUCR Malmo,-50.1,-3.43,-289.8,1,6,2,4,0.3333333333333333,0.5,60,74,-2.3333333333333335,6.0,7,0
Maultaschen @ DFV-Pokal Mixed,-50.26,-3.55,-343.59,1,6,1,5,0.16666666666666666,0.5055555555555555,54,78,-4.0,2.0,9,0
Rainbow Brigade @ Windmill,-50.47,-3.63,-142.21,1,8,3,5,0.375,0.328125,78,93,-1.875,1.0,28,0
Gold @ Spring Invite Padova,-51.38,-3.5,-168.91,1,6,3,3,0.5,0.546875,64,67,-0.5,1.0,24,0
Reading 2,-52.07,-2.96,-245.2,2,12,8,4,0.6666666666666666,0.43330808080808075,147,113,2.8333333333333335,1.0,44,1
Fusion Falcons Ultimate Club @ Windmill,-52.7,-2.64,-72.7,1,8,1,7,0.125,0.515625,65,96,-3.875,1.0,30,0
Seahawks Ultimate @ EUCR Istanbul,-53.22,-3.78,-314.35,1,5,1,4,0.2,0.5,41,58,-3.4,7.0,6,0
Big Fish Little Fish,-55.11,-3.54,-288.22,1,5,1,4,0.2,0.5219047619047619,40,60,-4.0,1.0,50,0
TV Bad Rappenau @ DFV-Pokal Mixed,-57.53,-3.62,-362.27,1,5,1,4,0.2,0.4,48,60,-2.4,2.0,9,0
LLLeeds 1,-58.52,-2.88,-302.94,2,11,8,3,0.7272727272727273,0.45240797058275245,126,73,4.818181818181818,1.0,34,1
Norway Mixed @ Windmill,-61.44,-4.09,-156.02,1,8,3,5,0.375,0.390625,73,96,-2.875,1.0,27,0
Contested 1st,-63.03,-3.46,-271.24,2,11,8,3,0.7272727272727273,0.545145496215015,112,100,1.0909090909090908,1.0,38,1
CUS Bergamo Ultimate @ EUCR Strasbourg,-70.6,-4.89,-456.46,1,5,0,5,0.0,0.47333333333333333,51,72,-4.2,5.0,7,0
ZomBees @ EUCR Brno,-77.12,-5.47,-404.75,1,5,1,4,0.2,0.44000000000000006,46,64,-3.6,4.0,8,0
Purple Cobras,-80.31,-4.75,-365.68,4,25,12,13,0.48,0.4849253246753246,212,221,-0.36,1.0,54,1
Mixed Feelings,-80.68,-4.98,-385.94,3,19,9,10,0.47368421052631576,0.47005750020985476,181,186,-0.2631578947368421,1.0,45,1
LoL Mixed Ultimate Team @ Windmill,-81.59,-5.56,-253.63,1,8,2,6,0.25,0.390625,66,100,-4.25,1.0,29,0
Nemesis,-88.44,-5.0,-409.87,4,21,12,9,0.5714285714285714,0.44610010670935046,209,196,0.6190476190476191,1.0,59,1
FlyHigh @ Spring Invite Padova,-88.76,-5.56,-343.84,1,6,3,3,0.5,0.4166666666666667,73,65,1.3333333333333333,1.0,7,0
Owls UC @ EUCR Malmo,-89.85,-5.89,-476.08,1,6,0,6,0.0,0.6666666666666666,44,80,-6.0,6.0,7,0
AUC Mxxxd @ G-Spot,-91.16,-5.28,-495.47,1,8,0,8,0.0,0.4097222222222222,39,81,-5.25,1.0,21,0
Citadel Ultimate Frisbee @ G-Spot,-92.82,-5.46,-354.22,1,8,1,7,0.125,0.4972718253968254,38,94,-7.0,1.0,21,0
Newcastle Brown,-93.19,-5.63,-334.72,2,10,6,4,0.6,0.47835668717247665,96,97,-0.1,1.0,36,1
Owls UC @ Spring Invite Padova,-106.2,-6.94,-492.07,1,6,1,5,0.16666666666666666,0.546875,51,71,-3.3333333333333335,1.0,24,0
DTU @ Windmill,-110.21,-7.18,-364.91,1,8,1,7,0.125,0.34375,57,106,-6.125,1.0,31,0
Flyght Mixed,-113.46,-7.03,-540.99,4,22,5,17,0.22727272727272727,0.5020074790464251,170,251,-3.6818181818181817,1.0,60,1
Bonnsai @ DFV-Pokal Mixed,-115.61,-6.78,-491.32,1,5,0,5,0.0,0.5733333333333333,26,66,-8.0,2.0,9,0
Rubber Duckies @ EUCR Brno,-122.09,-7.97,-618.11,1,5,0,5,0.0,0.48,37,70,-6.6,4.0,8,0
Bristol Mixed,-125.91,-7.37,-536.45,3,19,10,9,0.5263157894736842,0.4593630537080105,156,162,-0.3157894736842105,1.0,49,1
Sheffield Steal,-136.79,-8.25,-652.8,2,11,3,8,0.2727272727272727,0.5102773340741256,96,125,-2.6363636363636362,1.0,33,1
Zoo 1,-137.67,-8.15,-652.22,5,32,12,20,0.375,0.43107930515208476,247,283,-1.125,1.0,60,1
Zombees @ Spring Invite Padova,-139.92,-9.08,-609.03,1,6,2,4,0.3333333333333333,0.47222222222222227,55,78,-3.8333333333333335,1.0,7,0
Glasgow Mixed 2,-144.56,-8.99,-712.95,1,6,3,3,0.5,0.4403064256005433,45,56,-1.8333333333333333,1.0,23,0
Birmingham Ultimate,-155.42,-9.59,-797.49,2,11,3,8,0.2727272727272727,0.3953039760923943,88,116,-2.5454545454545454,1.0,45,1
HoneyMoon @ Spring Invite Padova,-165.57,-10.58,-728.47,1,6,1,5,0.16666666666666666,0.546875,41,82,-6.833333333333333,1.0,24,0
Norwich Ultimate,-166.82,-10.03,-767.11,1,6,3,3,0.5,0.291489898989899,55,58,-0.5,1.0,33,0
Brixton,-179.13,-10.82,-843.65,4,24,8,16,0.3333333333333333,0.4267863732414816,154,225,-2.9583333333333335,1.0,48,1
Black Sheep Mixed,-181.38,-11.16,-872.23,3,17,3,14,0.17647058823529413,0.4905122096685564,112,201,-5.235294117647059,1.0,50,1
Mamak Ult,-185.86,-11.6,-926.89,1,6,1,5,0.16666666666666666,0.48774509803921573,41,74,-5.5,1.0,27,0
Curve,-188.53,-11.38,-874.0,3,18,6,12,0.3333333333333333,0.3935700920453242,144,188,-2.4444444444444446,1.0,40,1
Red Mixed,-190.19,-11.66,-778.86,1,6,3,3,0.5,0.4623691581895916,47,71,-4.0,1.0,30,0
Plymouth Ultimate,-192.87,-11.88,-907.25,1,7,3,4,0.42857142857142855,0.3577318295739348,36,55,-2.7142857142857144,1.0,31,0
Guildford,-202.18,-12.4,-970.15,3,19,6,13,0.3157894736842105,0.3744426856615222,100,170,-3.6842105263157894,1.0,46,1
Cambridge Ultimate 2,-217.29,-13.85,-1012.41,1,6,1,5,0.16666666666666666,0.4236111111111111,48,75,-4.5,1.0,33,0
Thundering Herd 2,-217.61,-13.38,-1127.52,1,6,2,4,0.3333333333333333,0.3159223817118554,50,70,-3.3333333333333335,1.0,29,0
South Wales Storm Mixed,-228.66,-13.22,-1250.85,1,6,0,6,0.0,0.4355835137085137,33,71,-6.333333333333333,1.0,38,0
Sharkbear!,-271.82,-16.79,-1406.85,1,8,0,8,0.0,0.368812656641604,18,73,-6.875,1.0,32,0
